id,nome,latitude,longitude
1,Abadia de Goiás,-16.7572222222,-49.4375000000
2,Abadiânia,-16.2041666667,-48.7069444444
3,Acreúna,-17.3955555556,-50.3769444444
4,Adelândia,-16.4150000000,-50.1655555556
5,Água Fria de Goiás,-14.9855555556,-47.7841666667
6,Água Limpa,-18.0736111111,-48.7622222222
7,Águas Lindas de Goiás,-15.7619444444,-48.2816666667
8,Alexânia,-16.0822222222,-48.5072222222
9,Aloândia,-17.7272222222,-49.4802777778
10,Alto Horizonte,-14.1955555556,-49.3386111111
11,Alto Paraíso de Goiás,-14.1325000000,-47.5100000000
12,Alvorada do Norte,-14.4808333333,-46.4922222222
13,Amaralina,-13.9263888889,-49.2972222222
14,Americano do Brasil,-16.2547222222,-49.9827777778
15,Amorinópolis,-16.6191666667,-51.0936111111
16,Anápolis,-16.3266666667,-48.9527777778
17,Anhanguera,-18.3372222222,-48.2191666667
18,Anicuns,-16.4611111111,-49.9616666667
19,Aparecida de Goiânia,-16.8233333333,-49.2438888889
20,Aparecida do Rio Doce,-18.2988888889,-51.1452777778
21,Aporé,-18.9652777778,-51.9263888889
22,Araçu,-16.3575000000,-49.6811111111
23,Aragarças,-15.8975000000,-52.2508333333
24,Aragoiânia,-16.9119444444,-49.4513888889
25,Araguapaz,-15.0908333333,-50.6322222222
26,Arenópolis,-16.3861111111,-51.5602777778
27,Aruanã,-14.9202777778,-51.0830555556
28,Aurilândia,-16.6816666667,-50.4647222222
29,Avelinópolis,-16.4658333333,-49.7577777778
30,Baliza,-16.1961111111,-52.5450000000
31,Barro Alto,-14.9708333333,-48.9158333333
32,Bela Vista de Goiás,-16.9727777778,-48.9533333333
33,Bom Jardim de Goiás,-16.2097222222,-52.1722222222
34,Bom Jesus de Goiás,-18.2138888889,-49.7408333333
35,Bonfinópolis,-16.6177777778,-48.9633333333
36,Bonópolis,-13.6363888889,-49.8102777778
37,Brazabrantes,-16.4305555556,-49.3891666667
38,Britânia,-15.2411111111,-51.1605555556
39,Buriti Alegre,-18.1441666667,-49.0433333333
40,Buriti de Goiás,-16.1808333333,-50.4311111111
41,Buritinópolis,-14.4575000000,-46.4372222222
42,Cabeceiras,-15.8008333333,-46.9266666667
43,Cachoeira Alta,-18.7633333333,-50.9416666667
44,Cachoeira de Goiás,-16.6677777778,-50.6469444444
45,Cachoeira Dourada,-18.4916666667,-49.4750000000
46,Caçu,-18.5566666667,-51.1308333333
47,Caiapônia,-16.9566666667,-51.8102777778
48,Caldas Novas,-17.7416666667,-48.6250000000
49,Caldazinha,-16.7141666667,-49.0019444444
50,Campestre de Goiás,-16.7622222222,-49.6944444444
51,Campinaçu,-13.7900000000,-48.5711111111
52,Campinorte,-14.3113888889,-49.1511111111
53,Campo Alegre de Goiás,-17.6383333333,-47.7808333333
54,Campo Limpo de Goiás,-16.2969444444,-49.0872222222
